bcfeg ea fbdga fbgcdae
fgbcd egcb ebcgfd bgafdce
dacfbe dac afcbd bdfca
ecgbadf faebcgd decag adb
gabcde cge abfgc fbacge
efdgba dcfab ebdcga dfbga
dfa geafc ad afd
edfgca gdcabfe baf acgb
fbce cebf fabecg abcgf
cg gc fcdagbe bdfag
gbfaec fgab gfcae cgebaf
fabge bgfdeca bag afdbe
dgbafc bdc gdbefa fadce
gbeca dabg da edcfbag
bc aefdbcg aecdg bgcaedf
afced fcab dfb edbaf
dafbe acdbef acebfd gfed
aefd dacbe dfbace cdbefg
adf cdefb febdcga fgeca
cgbfead adc dca cda
bdcfgae fgdaceb af cbefa
ebd gdba db feagbdc
cade eagdcbf bcgeda daec
dcfegab gedabfc dagef fcbeadg
da ebda gbaecf efgdc
cgdba decagfb fad af
fdbgcea ad ead cbeadgf
ea baefdg fgeda ae
cdfbga fbgda age eg
gdeab fed efcag ecgaf
cebaf gfcab afcbg ef
aegdb gdabe bfca fcba
df dfabeg fd eabfdg
bfadgce afdec gdfeab edcfba
fd dbf cefgadb degba
bcgae ge ge gebac
dafecb dbfe fedb fdeb
fda adecb ecdfbag adf
afgcedb cgba ebdgfc efabcgd
acedgf ba gfcadbe afgecb
acd geafd dc ecbadg
geacfd dac dc ceagbd
dfeab abgfced gdec dbfecga
abfcdg acefbg bcaefg cef
ge edgc fgecbda dcbafe
abedf fbdaec bfaecd cbef
gadbecf gb aedgbf gdbeafc
gb bg adceg gcb
gac cebfadg adfegb adcfeg
agbc cfeagd gbe dcefgb
gade egcbd cafbg adge
dcba dbegafc cefab bdfaec
da dbae dcgab da
fbdg bd cgdbfea cbd
cbe aebcd gedb bec
be becfga afdceb fbgadc
gdabec ebdfa ge afbed
fgdac gefca agd dg
gaebf debcfa bcadfe bec
bdfag cfbgad gacbfe gfead
dgbca fd fagec fcd
cafdgb cbg cdabge cgaf
cedfagb cagef cdgeab egfcd
cagb dba dcbgaef adebc
geadc eadgc fec febcag
cbgae dfeacg bgdcea agc
agcd fgecab ad bdfge
fb cedfabg efgabcd bf
dge fdcg gd cgfbe
gbfade gbafd gacb abfdc
bgc bagefd gcb bcfda
geb abfcg cbdea gbfac
gfea dfgcbe afeg gde
cbga daecf cabg cb
age ae adgbec gea
fcg fdegbca gbeacfd cfg
efcab ebcfa dbcgf cadg
gcbdfae dfgac cbeafg fdcgae
fcadgb gd abcgf cadg
acbdfg dgcf bfcagd dagfb
fbcea eb cdbe eb
ebda cea dbcfge fgcab
fdbgce dgfecab bafgde gafbc
ceafdb debf bdef eacdb
fa fa cbgaf eafg
ecagb gebac begcdf ag
fda fcgba dfa egcda
gedab fgaedbc fedbcga gbcafd
cd acefgbd befca aecfb
eadgcf aefg gdbcfae gf
bedag dcga bcd fdeagb
bgafed cb cdba dbafg
gcfabe gdba bg fgecad
fa af bfa dacegbf
eb faedc debf cbe
dga dg agd dg
cgdfb fdae efgadcb gdcea
cegda eacdfbg da dfac
bfdeg cgeabf gea cead
cbefg bfc dcfeab bcefg
bgad gcd fgebc dcebagf
agdbfec dacbe be eb
be dgefba dgcaefb eabcfg
gcf fgc cf cdfa
gadce gea agbedc cedgf
fcdb bd edbacg decgf
dagb cdb cgdbfae abgd
bfedcga bgfcdea dcbg begcdf
fba fceda baec bfcdea
aedfbc dea deacbf dea
agcbd fagdceb ecabdg dcbga
efcbgad edgfcba fdgb afgcbe
acgebfd dc cda fgcea
dfacb gb dgaef fbdac
ac bdgfc cgafdeb edbfgac
gdfbaec dcebfa dgfabe ega
cfagb bag cbgfd fbagc
fb bgfa afecb aegdcbf
fbad da cegab abedgcf
cbagfe cebgaf gcadfe bfg
bafce debgc df ecbdg
cedfa dafce cedfb fegbcd
fdg dcfa abegd df
ecgfd ebfacg bcage dcefg
